country,date,director,film,rate,stars
Netherlands,11 August 2011 ,Asghar Farhadi,A Separation,8.3,"Payman Maadi,Leila Hatami,Sareh Bayat"
USA,19 December 1997 ,Hayao Miyazaki,Princess Mononoke,8.4,"Yôji Matsuda,Yuriko Ishida,Yûko Tanaka"
Netherlands,13 November 2014 ,Damien Chazelle,Whiplash,8.5,"Miles Teller,J.K. Simmons,Melissa Benoist"
USA,15 August 1979 ,Francis Ford Coppola,Apocalypse Now,8.4,"Martin Sheen,Marlon Brando,Robert Duvall"
USA,24 June 1994 ,Roger Allers,The Lion King,8.5,"Matthew Broderick,Jeremy Irons,James Earl Jones"
USA,13 February 2004 ,Fernando Meirelles,City of God,8.6,"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele"
USA,14 December 1990 ,Tim Burton,Edward Scissorhands,7.9,"Johnny Depp,Winona Ryder,Dianne Wiest"
USA,3 June 1987 ,Brian De Palma,The Untouchables,7.9,"Kevin Costner,Sean Connery,Robert De Niro"
USA,19 October 2007 ,Sean Penn,Into the Wild,8.1,"Emile Hirsch,Vince Vaughn,Catherine Keener"
USA,10 October 1980 ,David Lynch,The Elephant Man,8.1,"Anthony Hopkins,John Hurt,Anne Bancroft"
Netherlands,17 December 2009 ,Lasse Hallström,Hachi: A Dog's Tale,8.1,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa"
USA,24 September 2004 ,Je-kyu Kang,Tae Guk Gi: The Brotherhood of War,8.1,"Dong-Gun Jang,Won Bin,Eun-ju Lee"
USA,4 January 2002 ,Ron Howard,A Beautiful Mind,8.2,"Russell Crowe,Ed Harris,Jennifer Connelly"
USA,6 August 1999 ,M. Night Shyamalan,The Sixth Sense,8.1,"Bruce Willis,Haley Joel Osment,Toni Collette"
USA,2 February 1972 ,Stanley Kubrick,A Clockwork Orange,8.3,"Malcolm McDowell,Patrick Magee,Michael Bates"
USA,18 June 2010 ,Lee Unkrich,Toy Story 3,8.3,"Tom Hanks,Tim Allen,Joan Cusack"
USA,18 July 1986 ,James Cameron,Aliens,8.3,"Sigourney Weaver,Michael Biehn,Carrie Henn"
USA,1 October 1999 ,Sam Mendes,American Beauty,8.3,"Kevin Spacey,Annette Bening,Thora Birch"
USA,8 February 2002 ,Jean-Pierre Jeunet,Amélie,8.3,"Audrey Tautou,Mathieu Kassovitz,Rufus"
USA,27 June 2008 ,Andrew Stanton,WALL·E,8.4,"Ben Burtt,Elissa Knight,Jeff Garlin"
USA,13 June 1980 ,Stanley Kubrick,The Shining,8.4,"Jack Nicholson,Shelley Duvall,Danny Lloyd"
USA,7 March 1941 ,Charles Chaplin,The Great Dictator,8.4,"Charles Chaplin,Paulette Goddard,Jack Oakie"
USA,25 December 1957 ,Stanley Kubrick,Paths of Glory,8.4,"Kirk Douglas,Ralph Meeker,Adolphe Menjou"
Netherlands,24 December 2009 ,Rajkumar Hirani,3 Idiots,8.4,"Aamir Khan,Madhavan,Mona Singh"
USA,23 February 1990 ,Giuseppe Tornatore,Cinema Paradiso,8.5,"Philippe Noiret,Enzo Cannavale,Antonella Attili"
India,21 December 2007 ,Aamir Khan,Like Stars on Earth,8.4,"Darsheel Safary,Aamir Khan,Tisca Chopra"
China,12 December 2008 ,Wilson Yip,Ip Man,8.0,"Donnie Yen,Simon Yam,Siu-Wong Fan"
USA,4 May 2012 ,Joss Whedon,The Avengers,8.0,"Robert Downey Jr.,Chris Evans,Scarlett Johansson"
USA,3 August 2007 ,Paul Greengrass,The Bourne Ultimatum,8.0,"Matt Damon,Edgar Ramírez,Joan Allen"
USA,23 May 2014 ,Bryan Singer,X-Men: Days of Future Past,8.0,"Patrick Stewart,Ian McKellen,Hugh Jackman"
USA,19 February 2010 ,Martin Scorsese,Shutter Island,8.1,"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo"
USA,9 July 2003 ,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,"Johnny Depp,Geoffrey Rush,Orlando Bloom"
USA,15 July 2011 ,David Yates,Harry Potter and the Deathly Hallows: Part 2,8.1,"Daniel Radcliffe,Emma Watson,Rupert Grint"
Netherlands,19 December 2014 ,Rajkumar Hirani,PK,8.1,"Aamir Khan,Anushka Sharma,Sanjay Dutt"
USA,19 December 1980 ,Martin Scorsese,Raging Bull,8.2,"Robert De Niro,Cathy Moriarty,Joe Pesci"
USA,24 May 1989 ,Steven Spielberg,Indiana Jones and the Last Crusade,8.2,"Harrison Ford,Sean Connery,Alison Doody"
USA,15 June 2005 ,Christopher Nolan,Batman Begins,8.2,"Christian Bale,Michael Caine,Ken Watanabe"
USA,20 July 1988 ,John McTiernan,Die Hard,8.2,"Bruce Willis,Alan Rickman,Bonnie Bedelia"
Netherlands,3 October 1968 ,Stanley Kubrick,2001: A Space Odyssey,8.3,"Keir Dullea,Gary Lockwood,William Sylvester"
Turkey,29 November 1996 ,Yavuz Turgul,The Bandit,8.3,"Sener Sen,Ugur Yücel,Sermin Hürmeriç"
USA,25 December 2012 ,Quentin Tarantino,Django Unchained,8.4,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio"
USA,22 June 1979 ,Ridley Scott,Alien,8.4,"Sigourney Weaver,Tom Skerritt,John Hurt"
USA,28 March 2003 ,Roman Polanski,The Pianist,8.5,"Adrien Brody,Thomas Kretschmann,Frank Finlay"
USA,29 January 1964 ,Stanley Kubrick,Dr. Strangelove,8.4,"Peter Sellers,George C. Scott,Sterling Hayden"
USA,28 March 2003 ,Hayao Miyazaki,Spirited Away,8.6,"Daveigh Chase,Suzanne Pleshette,Miyu Irino"
USA,24 July 1998 ,Steven Spielberg,Saving Private Ryan,8.6,"Tom Hanks,Matt Damon,Tom Sizemore"
USA,14 February 1991 ,Jonathan Demme,The Silence of the Lambs,8.6,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney"
Netherlands,22 March 2012 ,Olivier Nakache,The Intouchables,8.5,"François Cluzet,Omar Sy,Anne Le Ny"
USA,25 February 1936 ,Charles Chaplin,Modern Times,8.5,"Charles Chaplin,Paulette Goddard,Henry Bergman"
USA,4 July 1969 ,Sergio Leone,Once Upon a Time in the West,8.5,"Henry Fonda,Charles Bronson,Claudia Cardinale"
USA,7 March 1931 ,Charles Chaplin,City Lights,8.5,"Charles Chaplin,Virginia Cherrill,Florence Lee"
Turkey,18 November 2005 ,Çagan Irmak,My Father and My Son,8.3,"Çetin Tekindor,Fikret Kuskan,Hümeyra"
USA,4 February 1994 ,Steven Spielberg,Schindler's List,8.9,"Liam Neeson,Ralph Fiennes,Ben Kingsley"
USA,17 March 2006 ,James McTeigue,V for Vendetta,8.2,"Hugo Weaving,Natalie Portman,Rupert Graves"
USA,24 May 1995 ,Mel Gibson,Braveheart,8.3,"Mel Gibson,Sophie Marceau,Patrick McGoohan"
USA,9 February 1976 ,Martin Scorsese,Taxi Driver,8.3,"Robert De Niro,Jodie Foster,Cybill Shepherd"
USA,12 June 1981 ,Steven Spielberg,Raiders of the Lost Ark,8.4,"Harrison Ford,Karen Allen,Paul Freeman"
USA,8 September 1960 ,Alfred Hitchcock,Psycho,8.5,"Anthony Perkins,Janet Leigh,Vera Miles"
USA,7 January 1947 ,Frank Capra,It's a Wonderful Life,8.6,"James Stewart,Donna Reed,Lionel Barrymore"
USA,12 February 1999 ,Roberto Benigni,Life Is Beautiful,8.6,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini"
USA,18 November 1994 ,Luc Besson,Léon: The Professional,8.5,"Jean Reno,Gary Oldman,Natalie Portman"
USA,22 September 1995 ,David Fincher,Se7en,8.6,"Morgan Freeman,Brad Pitt,Kevin Spacey"
USA,20 November 1998 ,Tony Kaye,American History X,8.5,"Edward Norton,Edward Furlong,Beverly D'Angelo"
USA,16 August 1995 ,Bryan Singer,The Usual Suspects,8.5,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri"
France,8 July 1977 ,Moustapha Akkad,The Message,8.2,"Anthony Quinn,Irene Papas,Michael Ansara"
USA,19 November 1956 ,Akira Kurosawa,Seven Samurai,8.6,"Toshirô Mifune,Takashi Shimura,Keiko Tsushima"
USA,31 March 1999 ,Lana Wachowski,The Matrix,8.7,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss"
USA,19 November 1975 ,Milos Forman,One Flew Over the Cuckoo's Nest,8.7,"Jack Nicholson,Louise Fletcher,Will Sampson"
USA,25 May 1977 ,George Lucas,Star Wars: Episode IV - A New Hope,8.6,"Mark Hamill,Harrison Ford,Carrie Fisher"
USA,21 September 1990 ,Martin Scorsese,Goodfellas,8.7,"Robert De Niro,Ray Liotta,Joe Pesci"
USA,20 June 1980 ,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back,8.7,"Mark Hamill,Harrison Ford,Carrie Fisher"
USA,9 December 1983 ,Brian De Palma,Scarface,8.3,"Al Pacino,Michelle Pfeiffer,Steven Bauer"
USA,26 July 1989 ,Isao Takahata,Grave of the Fireflies,8.5,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi"
USA,3 July 1991 ,James Cameron,Terminator 2: Judgment Day,8.5,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong"
USA,3 July 1985 ,Robert Zemeckis,Back to the Future,8.5,"Michael J. Fox,Christopher Lloyd,Lea Thompson"
USA,5 May 2000 ,Ridley Scott,Gladiator,8.5,"Russell Crowe,Joaquin Phoenix,Connie Nielsen"
USA,6 October 2006 ,Martin Scorsese,The Departed,8.5,"Leonardo DiCaprio,Matt Damon,Jack Nicholson"
USA,10 December 1999 ,Frank Darabont,The Green Mile,8.6,"Tom Hanks,Michael Clarke Duncan,David Morse"
USA,20 October 2006 ,Christopher Nolan,The Prestige,8.5,"Christian Bale,Hugh Jackman,Scarlett Johansson"
USA,25 May 2001 ,Christopher Nolan,Memento,8.4,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano"
USA,20 July 2012 ,Christopher Nolan,The Dark Knight Rises,8.4,"Christian Bale,Tom Hardy,Anne Hathaway"
USA,18 December 2002 ,Peter Jackson,The Lord of the Rings: The Two Towers,8.7,"Elijah Wood,Ian McKellen,Viggo Mortensen"
USA,7 November 2014 ,Christopher Nolan,Interstellar,8.6,"Matthew McConaughey,Anne Hathaway,Jessica Chastain"
USA,6 July 1994 ,Robert Zemeckis,Forrest Gump,8.8,"Tom Hanks,Robin Wright,Gary Sinise"
USA,16 July 2010 ,Christopher Nolan,Inception,8.8,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page"
USA,10 April 1957 ,Sidney Lumet,12 Angry Men,8.9,"Henry Fonda,Lee J. Cobb,Martin Balsam"
USA,19 December 2001 ,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,8.8,"Elijah Wood,Ian McKellen,Orlando Bloom"
USA,29 December 1967 ,Sergio Leone,"The Good, the Bad and the Ugly",8.8,"Clint Eastwood,Eli Wallach,Lee Van Cleef"
USA,14 October 1994 ,Quentin Tarantino,Pulp Fiction,8.9,"John Travolta,Uma Thurman,Samuel L. Jackson"
USA,17 December 2003 ,Peter Jackson,The Lord of the Rings: The Return of the King,8.9,"Elijah Wood,Viggo Mortensen,Ian McKellen"
USA,15 October 1999 ,David Fincher,Fight Club,8.8,"Brad Pitt,Edward Norton,Meat Loaf"
USA,24 March 1972 ,Francis Ford Coppola,The Godfather,9.2,"Marlon Brando,Al Pacino,James Caan"
USA,25 December 2002 ,Steven Spielberg,Catch Me If You Can,8.1,"Leonardo DiCaprio,Tom Hanks,Christopher Walken"
